Emotion,Token,Frequency
neutral,kronend,1
neutral,alte,97
neutral,kraft,8
neutral,verleihen,1
neutral,wodurch,5
neutral,erheben,3
neutral,unterdessen,4
neutral,zweiten,5
neutral,schloss,62
neutral,hingewiesen,1
neutral,geliebter,2
neutral,prinzessin,220
neutral,leben,54
neutral,heraus,26
neutral,handelt,6
neutral,frisur,1
neutral,neues,10
neutral,kleid,19
neutral,geschenk,6
neutral,sowie,12
neutral,paar,28
neutral,weitere,1
neutral,reise,16
neutral,mitgegeben,1
neutral,gemeinschaft,1
neutral,jedoch,46
neutral,räubern,5
neutral,überfallen,4
neutral,entführen,1
neutral,gaben,5
neutral,verliert,6
neutral,gesetzlosen,1
neutral,dafür,27
neutral,deren,24
neutral,lager,2
neutral,dritten,14
neutral,knopf,4
neutral,räuber,13
neutral,schlafen,23
neutral,entwendet,1
neutral,fliegendes,2
neutral,zauberrentier,2
neutral,womit,2
neutral,norden,4
neutral,begibt,5
neutral,dorthin,11
neutral,magischen,2
neutral,fertigkeiten,1
neutral,kaltherzigen,2
neutral,rentierschlitten,1
neutral,erdspalte,2
neutral,gestoßen,2
neutral,zauberin,6
neutral,nordens,2
neutral,begegnet,10
neutral,ebenbürtige,1
neutral,einst,20
neutral,wirr,1
neutral,wüst,1
neutral,licht,23
neutral,miteinander,5
neutral,rangen,1
neutral,zauberkräftiger,1
neutral,grüner,1
neutral,quelle,8
neutral,fiel,25
neutral,erstarrte,3
neutral,trachtet,1
neutral,danach,9
neutral,kristallstein,1
neutral,zurückzubekommen,1
neutral,langsam,4
neutral,erschöpfen,1
neutral,ewig,4
neutral,währen,1
neutral,gelingen,1
neutral,holen,12
neutral,darin,43
neutral,erstarren,3
neutral,sobald,14
neutral,nahe,18
neutral,käme,4
neutral,hände,35
neutral,wärme,7
neutral,strömt,2
neutral,menschen,93
neutral,benötigt,1
neutral,entführte,3
neutral,machte,29
neutral,bestimmten,2
neutral,stunde,7
neutral,zerbricht,1
neutral,aufsetzen,1
neutral,weißen,23
neutral,tarnumhang,2
neutral,mutige,1
neutral,richtigen,1
neutral,zeitpunkt,1
neutral,kurz,17
neutral,darauf,58
neutral,eintreffende,1
neutral,enttarnt,1
neutral,verzweifelt,13
neutral,fasst,3
neutral,hand,72
neutral,weglaufen,1
neutral,bewegen,6
neutral,eisige,2
neutral,zeigt,11
neutral,regung,1
neutral,angreifen,1
neutral,entgegen,14
neutral,guten,16
neutral,innewohnt,1
neutral,feuerbälle,2
neutral,hält,9
neutral,lange,33
neutral,eingefroren,3
neutral,daran,34
neutral,bekommene,1
neutral,setzen,12
neutral,erwacht,10
neutral,schwachen,1
neutral,rufe,2
neutral,gerdas,16
neutral,berührung,2
neutral,gelandet,1
neutral,knopfes,1
neutral,dunkle,5
neutral,zerstört,2
neutral,sand,8
neutral,vergraben,1
neutral,uraltes,3
neutral,märchen,16
neutral,armer,3
neutral,puppenspieler,10
neutral,präsentiert,3
neutral,abend,39
neutral,künste,4
neutral,ahnt,2
neutral,fortgehen,3
neutral,heimlicher,1
neutral,nacht,92
neutral,einschlafen,1
neutral,präsentieren,1
neutral,puppen,5
neutral,märchenspiel,1
neutral,soldat,51
neutral,puppenspielers,1
neutral,wurde,156
neutral,armee,1
